# Columns:
# 0 index: running object index
# 1 z_or_mu: distance modulus mu for anchor objects, redshift z for non-anchor HII galaxies
# 2 e_z_or_e_mu: uncertainty in distance modulus or redshift
# 3 log_sigma: log10 ionised-gas velocity dispersion, sigma in km/s
# 4 e_log_sigma: uncertainty in log_sigma
# 5 log_f_Hbeta: log10 extinction-corrected Hbeta flux, in erg/s/cm^2
# 6 e_log_f_Hbeta: uncertainty in log_f_Hbeta
# 7 origin_id: numerical identifier of the data origin/subsample
# 8 GEHR_id: (Holman) Additional field to make arrangements to GEHR analysis
# origin_id meaning:
# 0: Local anchor sample, 36 nearby GEHRs/HII regions with independent Cepheid or TRGB distance moduli, from Fernandez-Arenas et al. 2018 and references therein.
# 1: Low-redshift HII galaxies, 0.01 <= z <= 0.15, from Chavez et al. 2014.
# 2: Intermediate-redshift HII galaxies, mainly 0.6 <= z <= 4, compiled from Erb et al. 2006, Masters et al. 2014, and Maseda et al. 2014.
# 3: VLT/X-shooter intermediate-redshift HII galaxies from Terlevich et al. 2015.
# 4: Keck/MOSFIRE intermediate-redshift HII galaxies from Gonzalez-Moran et al. 2019.
# 5: VLT/KMOS intermediate-redshift HII galaxies from Gonzalez-Moran et al. 2021.
# 6: High-redshift JWST/NIRSpec HII galaxies from D'Eugenio et al. 2024, homogenised and analysed in Chavez et al. 2025.
# 7: High-redshift HII galaxies from VUDS/VANDELS, Llerena et al. 2023, homogenised and analysed in Chavez et al. 2025.
# 8: New very-high-redshift subsample analysed in the present paper, including JWST/NIRSpec objects and ALMA+JWST/MIRI objects extending to z ~ 14.
index,z_or_mu,e_z_or_e_mu,log_sigma,e_log_sigma,log_f_Hbeta,e_log_f_Hbeta,origin_id,GEHR_id
64 , 0.08769 , 0.00100943232066 , 1.532 , 0.035 , -14.0447127355 , 0.0956347435569 , 1.0 ,N/A
65 , 0.09729 , 0.00109386215311 , 1.649 , 0.033 , -13.676079642 , 0.107583349875 , 1.0 ,N/A
66 , 0.10937 , 0.00120257211426 , 1.688 , 0.025 , -13.4671836907 , 0.0713284174792 , 1.0 ,N/A
67 , 0.11245 , 0.0012306503362 , 1.707 , 0.024 , -13.7705885178 , 0.113406457481 , 1.0 ,N/A
68 , 0.07302 , 0.000884981378335 , 1.664 , 0.019 , -13.7356533351 , 0.0732699669609 , 1.0 ,N/A
69 , 0.04258 , 0.000656738639034 , 1.637 , 0.034 , -13.0788656582 , 0.0949476894726 , 1.0 ,N/A
70 , 0.08479 , 0.000984344660167 , 1.652 , 0.024 , -13.4639642372 , 0.0918202206656 , 1.0 ,N/A
71 , 0.03065 , 0.000586465898412 , 1.49 , 0.035 , -13.0262778239 , 0.0517922908867 , 1.0 ,N/A
72 , 0.09209 , 0.0010478820592 , 1.747 , 0.024 , -13.1906110943 , 0.0481532266543 , 1.0 ,N/A
73 , 0.03127 , 0.000589729844929 , 1.449 , 0.035 , -13.4006679475 , 0.0567513092056 , 1.0 ,N/A
74 , 0.01125 , 0.0005125 , 1.406 , 0.04 , -12.9514931348 , 0.0548613495606 , 1.0 ,N/A
75 , 0.07687 , 0.000917005828771 , 1.725 , 0.032 , -13.1087982105 , 0.0563786386293 , 1.0 ,N/A
76 , 0.09922 , 0.00111106293251 , 1.766 , 0.024 , -13.3870419732 , 0.0998275810284 , 1.0 ,N/A
77 , 0.12641 , 0.00135939280931 , 1.646 , 0.025 , -13.8650342898 , 0.094890869648 , 1.0 ,N/A
78 , 0.04038 , 0.000642693114947 , 1.566 , 0.025 , -13.751448207 , 0.0633687483198 , 1.0 ,N/A
79 , 0.02771 , 0.000571650601329 , 1.535 , 0.035 , -13.106010174 , 0.0555814640936 , 1.0 ,N/A
80 , 0.02293 , 0.000550071349917 , 1.477 , 0.035 , -13.6113114234 , 0.0624599159061 , 1.0 ,N/A
81 , 0.05815 , 0.000766904329105 , 1.614 , 0.024 , -13.8846344929 , 0.0718594766511 , 1.0 ,N/A
82 , 0.10809 , 0.00119094282398 , 1.737 , 0.023 , -13.5794425679 , 0.0749889736344 , 1.0 ,N/A
83 , 0.09494 , 0.00107301461313 , 1.561 , 0.025 , -13.8889844187 , 0.0770720434239 , 1.0 ,N/A
84 , 0.01352 , 0.000517956600499 , 1.441 , 0.036 , -13.1961880005 , 0.0725408812578 , 1.0 ,N/A
85 , 0.08536 , 0.000989258793239 , 1.7 , 0.024 , -13.6639582305 , 0.0605280227876 , 1.0 ,N/A
86 , 0.10263 , 0.00114161801405 , 1.787 , 0.031 , -13.2571518229 , 0.0815908421109 , 1.0 ,N/A
87 , 0.04587 , 0.000678532011036 , 1.602 , 0.025 , -13.7360648564 , 0.268713085594 , 1.0 ,N/A
88 , 0.01558 , 0.000523711409079 , 1.536 , 0.034 , -13.4714401331 , 0.0537464703153 , 1.0 ,N/A
89 , 0.02329 , 0.00055158173465 , 1.496 , 0.036 , -14.0855126874 , 0.0620302704091 , 1.0 ,N/A
90 , 0.01765 , 0.000530237918297 , 1.434 , 0.036 , -13.513023164 , 0.0559787041603 , 1.0 ,N/A
91 , 0.01822 , 0.000532162418816 , 1.44 , 0.035 , -13.5172993114 , 0.0651022075927 , 1.0 ,N/A
92 , 0.09883 , 0.00110758155004 , 1.75 , 0.025 , -13.597889503 , 0.0570311936166 , 1.0 ,N/A
93 , 0.12029 , 0.00130267740059 , 1.746 , 0.025 , -13.5160429756 , 0.0594847996068 , 1.0 ,N/A
94 , 0.01578 , 0.00052430987021 , 1.296 , 0.044 , -13.4886099569 , 0.0652893219381 , 1.0 ,N/A
95 , 0.01621 , 0.000525620024352 , 1.425 , 0.042 , -13.1079524596 , 0.0557010513722 , 1.0 ,N/A
96 , 0.03259 , 0.000596833988643 , 1.297 , 0.035 , -14.1629925034 , 0.0835026601282 , 1.0 ,N/A
97 , 0.02518 , 0.000559824293864 , 1.532 , 0.034 , -13.3252587705 , 0.0580785945759 , 1.0 ,N/A
98 , 0.06244 , 0.000799922096207 , 1.681 , 0.042 , -13.2614827529 , 0.0565201385508 , 1.0 ,N/A
99 , 0.05564 , 0.000748051442081 , 1.612 , 0.025 , -13.5990623501 , 0.0601998162099 , 1.0 ,N/A
100 , 0.14486 , 0.0015324627108 , 1.709 , 0.032 , -13.9155913599 , 0.0695523093126 , 1.0 ,N/A
101 , 0.14807 , 0.00156284115956 , 1.774 , 0.024 , -13.7291059794 , 0.143745991472 , 1.0 ,N/A
102 , 0.0139 , 0.000518961462924 , 1.279 , 0.044 , -13.9620538152 , 0.067166509431 , 1.0 ,N/A
103 , 0.03476 , 0.000608954645273 , 1.56 , 0.037 , -13.1425324228 , 0.0616012040701 , 1.0 ,N/A
104 , 0.03375 , 0.000603246425601 , 1.54 , 0.034 , -13.2860730129 , 0.453660194175 , 1.0 ,N/A
105 , 0.04583 , 0.000678261667795 , 1.791 , 0.033 , -12.7506645006 , 0.0590941050667 , 1.0 ,N/A
106 , 0.06988 , 0.000859256329625 , 1.597 , 0.022 , -13.957055317 , 0.0763332650426 , 1.0 ,N/A
107 , 0.0505 , 0.000710651109899 , 1.63 , 0.034 , -14.004237488 , 0.11573891503 , 1.0 ,N/A
108 , 0.07806 , 0.000927003969787 , 1.593 , 0.025 , -13.7917384723 , 0.104701738875 , 1.0 ,N/A
109 , 0.01453 , 0.00052068425173 , 1.41 , 0.038 , -13.3555775122 , 0.0588263758786 , 1.0 ,N/A
110 , 0.02777 , 0.00057194168409 , 1.593 , 0.034 , -13.0005102221 , 0.0560358774996 , 1.0 ,N/A
111 , 0.01216 , 0.000514574154034 , 1.446 , 0.036 , -13.2286600493 , 0.0574401672465 , 1.0 ,N/A
112 , 0.03039 , 0.000585111280014 , 1.639 , 0.033 , -12.5662664948 , 0.0567883809435 , 1.0 ,N/A
113 , 0.08564 , 0.000991675834131 , 1.561 , 0.033 , -13.2866227663 , 0.0545860371827 , 1.0 ,N/A
114 , 0.05314 , 0.000729647832862 , 1.544 , 0.026 , -13.5317906465 , 0.0674428350735 , 1.0 ,N/A
115 , 0.0467 , 0.000684170300437 , 1.569 , 0.034 , -13.8650614723 , 0.0831725132478 , 1.0 ,N/A
116 , 0.15134 , 0.00159385681917 , 1.587 , 0.032 , -14.1425036125 , 0.165532703667 , 1.0 ,N/A
117 , 0.12499 , 0.00134619835463 , 1.66 , 0.024 , -13.9298270611 , 0.127090052777 , 1.0 ,N/A
118 , 0.01111 , 0.00051219450407 , 1.396 , 0.038 , -13.3255505874 , 0.0591044612065 , 1.0 ,N/A
119 , 0.02492 , 0.000558659681738 , 1.434 , 0.027 , -13.4341155511 , 0.0520870570217 , 1.0 ,N/A
120 , 0.02187 , 0.000545737748374 , 1.465 , 0.016 , -13.312660163 , 0.0615036155151 , 1.0 ,N/A
121 , 0.02765 , 0.00057136000035 , 1.407 , 0.02 , -13.381278756 , 0.379818191975 , 1.0 ,N/A
122 , 0.02671 , 0.000566870717183 , 1.431 , 0.022 , -13.349294886 , 0.11712652532 , 1.0 ,N/A
123 , 0.02362 , 0.000552983218552 , 1.309 , 0.032 , -13.5305931913 , 0.0656709831993 , 1.0 ,N/A
124 , 0.01508 , 0.0005222457659 , 1.424 , 0.027 , -13.3722342645 , 0.0700902505066 , 1.0 ,N/A
125 , 0.03138 , 0.000590313848728 , 1.609 , 0.024 , -13.1805764663 , 0.0390945133897 , 1.0 ,N/A
126 , 0.03328 , 0.000600629536403 , 1.683 , 0.024 , -13.4485396084 , 0.113769999159 , 1.0 ,N/A
127 , 0.02808 , 0.000573453258775 , 1.688 , 0.024 , -12.8488703501 , 0.0176833207581 , 1.0 ,N/A
128 , 0.03437 , 0.000606736919925 , 1.739 , 0.023 , -13.2656767721 , 0.0368677829665 , 1.0 ,N/A
129 , 0.01094 , 0.000511828447822 , 1.34 , 0.021 , -13.5855563298 , 0.0737232584945 , 1.0 ,N/A
130 , 0.0088 , 0.000507684941672 , 1.494 , 0.025 , -12.5799947316 , 0.00087981112506 , 1.0 ,N/A
131 , 0.02711 , 0.00056876639317 , 1.397 , 0.017 , -13.4413308297 , 0.0990115296567 , 1.0 ,N/A
132 , 0.02662 , 0.000566447208485 , 1.441 , 0.036 , -13.7600866098 , 0.166588319509 , 1.0 ,N/A
133 , 0.1088 , 0.00119739049604 , 1.559 , 0.046 , -14.0868378981 , 0.100658208085 , 1.0 ,N/A
134 , 0.11506 , 0.00125454388524 , 1.757 , 0.033 , -13.7211870876 , 0.0689889328015 , 1.0 ,N/A
135 , 0.10726 , 0.00118341487231 , 1.707 , 0.025 , -13.805707302 , 0.0806164397765 , 1.0 ,N/A
136 , 0.06551 , 0.00082410922213 , 1.627 , 0.031 , -13.5936005027 , 0.0703212111989 , 1.0 ,N/A
137 , 0.07928 , 0.000937300293396 , 1.662 , 0.033 , -13.4260941746 , 0.0599400646509 , 1.0 ,N/A
138 , 0.06094 , 0.000788269217971 , 1.66 , 0.033 , -13.0245647493 , 0.06278015221 , 1.0 ,N/A
139 , 0.02283 , 0.000549655246495 , 1.318 , 0.046 , -13.4493497544 , 0.0638368652805 , 1.0 ,N/A
140 , 0.02873 , 0.000576663931593 , 1.568 , 0.033 , -13.0266348554 , 0.0711896658704 , 1.0 ,N/A
141 , 0.03278 , 0.000597873598681 , 1.393 , 0.041 , -14.0450264117 , 0.179339121754 , 1.0 ,N/A
142 , 0.06479 , 0.000818397464561 , 1.573 , 0.033 , -13.6808414328 , 0.0656499204829 , 1.0 ,N/A
143 , 2.2713 , 0.022713 , 1.7993406 , 0.062000003 , -16.50463487110948 , 0.050720626792426456 , 2.0 ,N/A
144 , 2.1663 , 0.021663 , 1.7923917 , 0.069999998 , -16.848699498998663 , 0.051297669175776266 , 2.0 ,N/A
