Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3672.0,1.37908,1.38689,1.41454,1.41761,1.36993,1.3972425
3673.0,1.55533,1.39167,1.41971,1.4227,1.37618,1.4025649999999998
3674.0,1.35161,1.39141,1.41901,1.42214,1.37587,1.4021075
3675.0,1.62242,1.38513,1.41114,1.41467,1.36872,1.394915
3676.0,1.60437,1.3733,1.3967,1.40082,1.35515,1.3814925
3677.0,1.42347,1.35764,1.37821,1.38292,1.33678,1.3638875
3678.0,1.43566,1.34144,1.35964,1.36483,1.31764,1.3458875000000001
3679.0,1.48833,1.3288,1.3455,1.35084,1.30315,1.3320724999999998
3680.0,1.42,1.32271,1.33906,1.34399,1.29721,1.3257424999999998
3681.0,1.36597,1.32326,1.34004,1.34408,1.29983,1.3268024999999999
3682.0,1.44203,1.32738,1.34457,1.34777,1.30679,1.3316274999999997
3683.0,1.46826,1.33032,1.34736,1.35015,1.31167,1.3348749999999998
3684.0,1.37462,1.32819,1.34424,1.34732,1.30936,1.3322775
3685.0,1.53015,1.32037,1.33496,1.33905,1.29911,1.3233725
3686.0,1.60463,1.31026,1.32383,1.32913,1.28552,1.312185
3687.0,1.42919,1.30379,1.31771,1.32376,1.27667,1.3054825
3688.0,1.30538,1.30612,1.32217,1.32805,1.27971,1.3090125
3689.0,1.28468,1.31823,1.33763,1.34245,1.29599,1.323575
3690.0,1.46126,1.33556,1.35837,1.36196,1.3191,1.3437474999999999
3691.0,1.63021,1.35024,1.37547,1.37849,1.33809,1.3605725000000002
3692.0,1.5576,1.35577,1.38199,1.38564,1.34422,1.366905
3693.0,1.43461,1.35098,1.37738,1.38244,1.33669,1.3618725
3694.0,1.23558,1.34032,1.36707,1.37341,1.32259,1.3508475
3695.0,1.46123,1.33052,1.35836,1.36523,1.31121,1.34133
3696.0,1.45796,1.32645,1.35623,1.36287,1.30808,1.3384075000000002
3697.0,1.47435,1.32929,1.36143,1.36734,1.31342,1.3428699999999998
3698.0,1.52553,1.33687,1.37099,1.37596,1.3242,1.3520050000000001
3699.0,1.29787,1.34449,1.37919,1.3832,1.33523,1.3605275000000001
3700.0,1.11079,1.3455,1.37877,1.3822,1.3387,1.3612925
3701.0,1.36617,1.33358,1.36405,1.36765,1.32639,1.3479175
3702.0,1.35192,1.30695,1.33436,1.33894,1.29547,1.31893
3703.0,1.7498,1.2716,1.29616,1.30212,1.25328,1.2807899999999999
3704.0,1.87386,1.23927,1.26086,1.26757,1.21499,1.2456725000000002
3705.0,1.51513,1.22036,1.23841,1.24454,1.194,1.2243275
3706.0,1.27854,1.21752,1.23168,1.23637,1.19281,1.219595
3707.0,1.0769,1.22559,1.23664,1.24016,1.20322,1.2264024999999998
3708.0,1.19307,1.23736,1.24785,1.25104,1.21582,1.2380175
3709.0,1.20256,1.24927,1.26274,1.26605,1.22801,1.2515175
3710.0,2.00328,1.26211,1.2814,1.28482,1.24261,1.267735
