 # ; obj tags ;obj count;    raw id    ;            identifier             ;typ;      coord1 (FK5,J2000/2000)      ;  redshift  
106;x*        ;        1;Feige 66      ;BD+25 2534                         ;HS*;189.3479876478090 +25.0666283820698;0.000004    
107;d         ;        3;J125305-031258;2MASS J12530596-0312588            ;AGN;193.274861 -03.216357              ;0.02272     
108;d         ;        3;J130119+123959;NVSS J130119+123941                ;rG ;195.3302522564762 +12.6664997549424;0.06924     
109;d         ;        3;J131235+125743;SDSS J131235.15+125743.3           ;H2G;198.1466465397519 +12.9621109039549;0.02574     
110;x*        ;        1;Hz 44         ;HZ 44                              ;HS*;200.8969308681305 +36.1332063158224;-0.000136   
111;d         ;        3;J132347-013252;2QZ J132347.5-013252               ;EmG;200.9477454828524 -01.5477915172680;0.02246     
112;d         ;        3;J132549+330354;2MASS J13254946+3303544            ;EmG;201.4559272346062 +33.0650950591200;0.01470     
113;d         ;        3;J133708-325528;ESO 383-43                         ;AG?;204.2846 -32.9256                  ;0.012108    
114;d         ;        3;J134531+044232;LEDA 48782                         ;H2G;206.3813418337591 +04.7092110459547;0.03041     
115;d         ;        3;J142342+225728;[MWC2015] B1422+231 21070          ;AGN;215.9286250235302 +22.9580018635584;0.03285     
116;d         ;        3;J144805-011057;6dFGS gJ144805.3-011058            ;AGN;222.0223798518830 -01.1826903457946;0.02739     
117;x*        ;        1;BD + 33d2642  ;BD+33 2642                         ;pA*;237.9995257181873 +32.9484282052814;-0.000316   
118;d         ;        3;J162152+151855;SDSS J162152.57+151856.0           ;EmG;245.4690613474534 +15.3155553795209;0.03434     
119;d         ;        3;J171236+321633;SDSS J171236.63+321633.4           ;EmG;258.1526163919776 +32.2759028418881;0.01204     
120;d         ;        3;J192758-413432;ESO 338-4                          ;EmG;291.993082 -41.575219              ;0.009486    
121;d         ;        3;J210114-055510;SHOC 584                           ;Sy1;315.3100433028102 -05.9195369904844;0.19622     
122;d         ;        3;J210501-062238;SHOC 586                           ;Sy1;316.2562739530598 -06.3774816225598;0.140       
123;d         ;        3;J211527-075951;[VV2003c] J211527.1-075951         ;Sy1;318.8627977022723 -07.9976093084004;0.02835     
124;d         ;        3;J211902-074226;SHOC 590                           ;Sy1;319.7593097558674 -07.7076048214584;0.08956     
125;d         ;        3;J212043+010006;SDSS J212043.95+010006.8           ;G  ;320.1830964896464 +01.0018933486595;0.11375     
126;d         ;        3;J212332-074831;SDSS J212332.71-074831.0           ;G  ;320.8862293886398 -07.8085342107737;0.02798     
127;d         ;        3;J214350-072003;SDSS J214350.85-072003.6           ;G  ;325.9619160763867 -07.3343580910778;0.10987     
128;d         ;        3;J220802+131334;SDSS J220802.87+131334.4           ;G  ;332.0120106613590 +13.2262542797853;0.11622     
129;d         ;        3;J221823+003918;SDSS J221823.85+003918.4           ;G  ;334.5994320528309 +00.6551316502077;0.10843     
130;d         ;        3;J222510-001152;SDSS J222510.13-001152.9           ;EmG;336.2922450257738 -00.1979844908029;0.06668     
131;d         ;        3;J224556+125022;[BKD2008] WR 141                   ;PoG;341.487224 +12.839554              ;0.08048     
132;d         ;        3;J225140+132713;2MASS J22514028+1327137            ;H2G;342.917989 +13.453716              ;0.06214     
133;d         ;        3;J230117+135230;SDSS J230117.64+135230.2           ;G  ;345.323545 +13.875071              ;0.02456     
134;d         ;        3;J230123+133314;[ITS2007] 52263-742-179            ;H2G;345.348307 +13.554096              ;0.03029     
135;d         ;        3;J230703+011311;SHOC 595                           ;Sy1;346.7656830052835 +01.2197848644810;0.12577     
136;d         ;        3;J231442+010621;[VV2003c] J231442.1+010620         ;Sy1;348.675646 +01.105846              ;0.03420     
137;d         ;        3;J232936-011056;LEDA 71582                         ;Sy1;352.4023002285870 -01.1825342505500;0.06600     

