    0.200059374531353811E+02    0.999711636468903109E+01   -0.317860140920818551E+07
    0.200059440278452279E+02    0.999711824896470524E+01   -0.317860140662764944E+07
    0.200058670683372313E+02    0.999709632995395303E+01   -0.317860139488267666E+07
    0.200059452715959978E+02    0.999711865927219634E+01   -0.317860138966830214E+07
    0.200058691613060162E+02    0.999709700901209430E+01   -0.317860136983107915E+07
    0.200058822918801482E+02    0.999710076694542238E+01   -0.317860136627351074E+07
    0.200059668708128804E+02    0.999712493179540296E+01   -0.317860135601784522E+07
    0.200059793599728231E+02    0.999712852186203094E+01   -0.317860134783030534E+07
    0.200059122539464731E+02    0.999710937989418191E+01   -0.317860134656700306E+07
    0.200059678795533955E+02    0.999712525564430265E+01   -0.317860134499410912E+07
    0.200059345365519938E+02    0.999711576064282248E+01   -0.317860133944961801E+07
    0.200059395375009501E+02    0.999711720919268743E+01   -0.317860133280576859E+07
    0.200059808557376790E+02    0.999712901828264222E+01   -0.317860132652472286E+07
    0.200059415739900821E+02    0.999711788716527749E+01   -0.317860130315769743E+07
    0.200059769894194979E+02    0.999712803286225338E+01   -0.317860129053241992E+07
    0.200060100049267682E+02    0.999713747725112967E+01   -0.317860128297838056E+07
    0.200059604143870651E+02    0.999712335484226244E+01   -0.317860127492809389E+07
    0.200060026578110595E+02    0.999713541524232951E+01   -0.317860127251726808E+07
    0.200060125383864857E+02    0.999713823609048902E+01   -0.317860127196341520E+07
    0.200059311642071371E+02    0.999711502514078987E+01   -0.317860127012594230E+07
    0.200059529803135234E+02    0.999712125480987446E+01   -0.317860126850799192E+07
    0.200059670928294366E+02    0.999712528990239946E+01   -0.317860126586718811E+07
    0.200060081290572072E+02    0.999713704487392008E+01   -0.317860125152905285E+07
    0.200060100481591370E+02    0.999713766112778934E+01   -0.317860123051384324E+07
    0.200059107965739678E+02    0.999710934483676184E+01   -0.317860123011880927E+07
    0.200058835869047478E+02    0.999710162448807438E+01   -0.317860121700540325E+07
    0.200059682052663739E+02    0.999712579650348232E+01   -0.317860120799888717E+07
    0.200059564935280463E+02    0.999712246477905886E+01   -0.317860120501237363E+07
    0.200059716998212345E+02    0.999712680586907965E+01   -0.317860120422779443E+07
    0.200059550902428960E+02    0.999712206986816909E+01   -0.317860120334186824E+07
    0.200059743078347836E+02    0.999712756681980608E+01   -0.317860119907270093E+07
    0.200059716356511927E+02    0.999712681457600105E+01   -0.317860119596539671E+07
    0.200059849959753748E+02    0.999713064920141647E+01   -0.317860118899938185E+07
    0.200059364453017565E+02    0.999711683489226388E+01   -0.317860117745730607E+07
    0.200059402859637778E+02    0.999711795668581615E+01   -0.317860116950246692E+07
    0.200060121374486606E+02    0.999713853986894563E+01   -0.317860114406984393E+07
    0.200058685162373955E+02    0.999709758699094131E+01   -0.317860113677261909E+07
    0.200059589647613336E+02    0.999712343944487003E+01   -0.317860112255905615E+07
    0.200059296696785438E+02    0.999711509950577870E+01   -0.317860111696969299E+07
    0.200059350351631764E+02    0.999711666206712124E+01   -0.317860110726582026E+07
    0.200059740180018792E+02    0.999712778535834623E+01   -0.317860110694391420E+07
    0.200059771971229985E+02    0.999712869815099303E+01   -0.317860110518408474E+07
    0.200059916252941328E+02    0.999713286153456515E+01   -0.317860109085045708E+07
    0.200060075763519869E+02    0.999713741707942205E+01   -0.317860108946450986E+07
    0.200059977463478162E+02    0.999713464195921020E+01   -0.317860108044567471E+07
    0.200060000584088371E+02    0.999713530196018674E+01   -0.317860108034034725E+07
    0.200059742100808364E+02    0.999712794191673559E+01   -0.317860107582272915E+07
    0.200059599517222111E+02    0.999712390128202522E+01   -0.317860106743238354E+07
    0.200059400692756668E+02    0.999711829784556905E+01   -0.317860104625365091E+07
    0.200059927576680678E+02    0.999713333971952345E+01   -0.317860104341267142E+07
    0.200059625774372414E+02    0.999712474006553364E+01   -0.317860104001749028E+07
    0.200059492880955681E+02    0.999712096580115173E+01   -0.317860103471634164E+07
    0.200059434608856890E+02    0.999711931226200612E+01   -0.317860103195492132E+07
    0.200059445345456908E+02    0.999711964290736255E+01   -0.317860102451743279E+07
    0.200059904872191545E+02    0.999713277409804846E+01   -0.317860101828394597E+07
    0.200059751565680877E+02    0.999712842060125872E+01   -0.317860101201172452E+07
    0.200059483344664386E+02    0.999712076965867524E+01   -0.317860101149121765E+07
